LOINC #,Short Name,Long Common Name,CLASS,Rank
51656-7,HCV Ab s/co Fld-Rto,Hepatitis C virus Ab Signal/Cutoff [Ratio] in Body fluid,MICRO,280
4679-7,Retics/100 RBC NFr,Reticulocytes/100 erythrocytes in Blood,HEM/BC,281
22635-7,Path report.microscopic Spec Other Stn,Pathology report microscopic observation Other stain,TUMRRGT,282
59826-8,Creat Bld-mCnc,Creatinine [Moles/volume] in Blood,Chem,283
15150-6,Anisocytosis Bld Ql Auto,Anisocytosis [Presence] in Blood by Automated count,HEM/BC,284
14338-8,Prealb SerPl-mCnc,Prealbumin [Mass/volume] in Serum or Plasma,Chem,285
15198-5,Macrocytes Bld Ql Auto,Macrocytes [Presence] in Blood by Automated count,HEM/BC,286
33051-4,RBC Ur Ql,Erythrocytes [Presence] in Urine,UA,287
6299-2,BUN Bld-mCnc,Urea nitrogen [Mass/volume] in Blood,Chem,288
70204-3,NonHDLc SerPl-mCnc,Cholesterol non HDL [Moles/volume] in Serum or Plasma,Chem,289
2842-3,Prolactin SerPl-mCnc,Prolactin [Mass/volume] in Serum or Plasma,Chem,290
6598-7,Troponin T SerPl-mCnc,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Chem,291
2888-6,Prot Ur-mCnc,Protein [Mass/volume] in Urine,UA,292
3393-6,BZE Ur Ql,Benzoylecgonine [Presence] in Urine,DRUG/TOX,293
9842-6,Casts #/area UrnS LPF,Casts [#/area] in Urine sediment by Microscopy low power field,UA,294
2069-3,Chloride Bld-sCnc,Chloride [Moles/volume] in Blood,Chem,295
5334-8,RUBV IgG Ser EIA-aCnc,Rubella virus IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,296
20569-0,CK MB CFr SerPl,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,Chem,297
42931-6,C trach rRNA Ur Ql PCR,Chlamydia trachomatis rRNA [Presence] in Urine by Probe & target amplification method ,MICRO,298
15199-3,Microcytes Bld Ql Auto,Microcytes [Presence] in Blood by Automated count,HEM/BC,299
20629-2,Levofloxacin Susc Islt,Levofloxacin [Susceptibility],ABXBACT,300
3397-7,Cocaine Ur Ql,Cocaine [Presence] in Urine,DRUG/TOX,301
779-9,Poikilocytosis Bld Ql Smear,Poikilocytosis [Presence] in Blood by Light microscopy,HEM/BC,302
35591-7,Creat Cl predicted SerPl C-G-vRate,Creatinine renal clearance predicted by Cockcroft-Gault formula,Chem,303
32356-8,Yeast UrnS Ql Micro,Yeast [Presence] in Urine sediment by Light microscopy,UA,304
18878-9,Cefazolin Susc Islt,Cefazolin [Susceptibility],ABXBACT,305
740-1,Metamyelocytes NFr Bld Manual,Metamyelocytes/100 leukocytes in Blood by Manual count,HEM/BC,306
12851-2,Prot Pattern SerPl Elph-Imp,Protein Fractions [interpretation] in Serum or Plasma by Electrophoresis,Chem,307
31147-2,RPR Ser-Titr,Reagin Ab [Titer] in Serum by RPR,MICRO,308
25428-4,Glucose Ur Ql Strip,Glucose [Presence] in Urine by Test strip,UA,309
1960-4,HCO3 BldA-sCnc,Bicarbonate [Moles/volume] in Arterial blood,Chem,310
2111-3,B-HCG SerPl-sCnc,Choriogonadotropin.beta subunit [Moles/volume] in Serum or Plasma,Chem,311
2039-6,CEA SerPl-mCnc,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Chem,312
2862-1,Albumin SerPl Elph-mCnc,Albumin [Mass/volume] in Serum or Plasma by Electrophoresis,Chem,313
2871-2,B-Globulin SerPl Elph-mCnc,Beta globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Chem,314
2865-4,Alpha1 Glob SerPl Elph-mCnc,Alpha 1 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Chem,315
2868-8,Alpha2 Glob SerPl Elph-mCnc,Alpha 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Chem,316
18906-8,Ciprofloxacin Susc Islt,Ciprofloxacin [Susceptibility],ABXBACT,317
14890-8,Progest SerPl-mCnc,Progesterone [Moles/volume] in Serum or Plasma,Chem,318
13950-1,HAV IgM Ser Ql EIA,Hepatitis A virus IgM Ab [Presence] in Serum by Immunoassay,MICRO,319
28541-1,Metamyelocytes NFr Bld,Metamyelocytes/100 leukocytes in Blood,HEM/BC,320
3936-2,PCP Ur Ql,Phencyclidine [Presence] in Urine,DRUG/TOX,321
48159-8,HCV Ab s/co SerPl EIA-Rto,Hepatitis C virus Ab Signal/Cutoff [Ratio] in Serum or Plasma by Immunoassay,MICRO,322
2874-6,Gamma glob SerPl Elph-mCnc,Gamma globulin [Mass/volume] in Serum or Plasma by Electrophoresis,Chem,323
31201-7,HIV1+2 Ab Ser Ql EIA,HIV 1+2 Ab [Presence] in Serum by Immunoassay,MICRO,324
14914-6,Testost Free SerPl-mCnc,Testosterone Free [Moles/volume] in Serum or Plasma,Chem,325
58413-6,nRBC/100 WBC Bld Auto-Rto,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood by Automated count,HEM/BC,326
36903-3,C trach+GC DNA XXX PCR,Chlamydia trachomatis+Neisseria gonorrhoeae DNA [Identifier] in Unspecified specimen by Probe & target amplification method,MICRO,327
580-1,Fungus XXX Cult,Fungus identified in Unspecified specimen by Culture,MICRO,328
2692-2,Osmolality SerPl,Osmolality of Serum or Plasma,Chem,329
18865-6,Ampicillin+Sulbac Susc Islt,Ampicillin+Sulbactam [Susceptibility],ABXBACT,330
18864-9,Ampicillin Susc Islt,Ampicillin [Susceptibility],ABXBACT,331
14771-0,Glucose p fast SerPl-mCnc,Fasting glucose [Moles/volume] in Serum or Plasma,CHAL,332
635-3,Bacteria XXX Anaerobe Cult,Bacteria identified in Unspecified specimen by Anaerobe culture,MICRO,333
547-0,B-Hem Strep XXX Ql Cult,Streptococcus.beta-hemolytic [Presence] in Unspecified specimen by Organism specific culture,MICRO,334
5194-6,HBV surface Ab Ser RIA-aCnc,Hepatitis B virus surface Ab [Units/volume] in Serum by Radioimmunoassay (RIA),MICRO,335
18955-5,Nitrofurantoin Susc Islt,Nitrofurantoin [Susceptibility],ABXBACT,336
18481-2,S pyo Ag Throat Ql,Streptococcus pyogenes Ag [Presence] in Throat,MICRO,337
14754-6,Glucose 1H p 50 g Glc PO SerPl-mCnc,Glucose [Moles/volume] in Serum or Plasma --1 hour post 50 g glucose PO,CHAL,338
12235-8,Micro UrnS,Microscopic observation [Identifier] in Urine sediment by Light microscopy,UA,339
7791-7,Dacryocytes Bld Ql Smear,Dacrocytes [Presence] in Blood by Light microscopy,HEM/BC,340
14675-3,Cortis SerPl-mCnc,Cortisol [Moles/volume] in Serum or Plasma,Chem,341
14611-8,ANA Pat Ser-Imp,Nuclear Ab pattern [interpretation] in Serum,SERO,343
8099-4,Thyroperoxidase Ab SerPl-aCnc,Thyroperoxidase Ab [Units/volume] in Serum or Plasma,SERO,344
5048-4,ANA Titr Ser IF,Nuclear Ab [Titer] in Serum by Immunofluorescence,SERO,345
2524-7,Lactate SerPl-sCnc,Lactate [Moles/volume] in Serum or Plasma,Chem,346
763-3,Neuts Band # Bld Manual,Neutrophils.band form [#/volume] in Blood by Manual count,HEM/BC,347
30522-7,CRP SerPl HS-mCnc,C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method,Chem,348
11156-7,WBC morph Bld,Leukocyte morphology finding [Identifier] in Blood,HEM/BC,349
19000-9,Vancomycin Susc Islt,Vancomycin [Susceptibility],ABXBACT,350
2335-8,Hemocult Stl Ql,Hemoglobin.gastrointestinal [Presence] in Stool,Chem,351
6824-7,Color Fld,Color of Body fluid,SPEC,352
24113-3,HBV core IgM Ser Ql EIA,Hepatitis B virus core IgM Ab [Presence] in Serum by Immunoassay,MICRO,353
14578-9,ABO Group Bld BPU,ABO group [Type] in Blood from Blood product unit,BLDBK,354
14907-0,Rh Bld BPU,Rh [Type] in Blood from Blood product unit,BLDBK,355
14877-5,Phenytoin SerPl-mCnc,Phenytoin [Moles/volume] in Serum or Plasma,DRUG/TOX,356
14698-5,Digoxin SerPl-mCnc,Digoxin [Moles/volume] in Serum or Plasma,DRUG/TOX,357
13965-9,Homocysteine SerPl-sCnc,Homocysteine [Moles/volume] in Serum or Plasma,Chem,358
55593-8,Creat ?Tm Ur-mCnc,Creatinine [Moles/volume] in unspecified time Urine,Chem,359
18893-8,Ceftazidime Susc Islt,Ceftazidime [Susceptibility],ABXBACT,360
18970-4,Piperacillin+Tazobac Susc Islt,Piperacillin+Tazobactam [Susceptibility],ABXBACT,361
54218-3,CD3+CD4+ Cells/CD3+CD8+ Cells Bld,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,CELLMARK,362
800-3,Schistocytes Bld Ql Smear,Schistocytes [Presence] in Blood by Light microscopy,HEM/BC,363
21198-7,B-HCG SerPl-aCnc,Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma,Chem,364
14719-9,Ethanol SerPl-mCnc,Ethanol [Moles/volume] in Serum or Plasma,DRUG/TOX,365
22763-7,Ammonia Plas-mCnc,Ammonia [Mass/volume] in Plasma,Chem,366
16362-6,Ammonia Plas-sCnc,Ammonia [Moles/volume] in Plasma,Chem,367
3426-4,THC Ur Ql,Tetrahydrocannabinol [Presence] in Urine,DRUG/TOX,368
26487-9,Monocytes NFr Fld,Monocytes/100 leukocytes in Body fluid,HEM/BC,369
11031-2,Lymphocytes NFr Fld,Lymphocytes/100 leukocytes in Body fluid,HEM/BC,370
749-2,Myelocytes NFr Bld Manual,Myelocytes/100 leukocytes in Blood by Manual count,HEM/BC,371
18932-4,Imipenem Susc Islt,Imipenem [Susceptibility],ABXBACT,372
18943-1,Meropenem Susc Islt,Meropenem [Susceptibility],ABXBACT,373
32673-6,CK MB SerPl-cCnc,Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma,Chem,374
22322-2,HBV surface Ab Ser Ql,Hepatitis B virus surface Ab [Presence] in Serum,MICRO,375
13655-6,WBC Stl Ql Micro,Leukocytes [Presence] in Stool by Light microscopy,HEM/BC,376
8123-2,CD3+CD4+ Cells NFr Bld,CD3+CD4+ (T4 helper) cells/100 cells in Blood,CELLMARK,377
26498-6,Myelocytes NFr Bld,Myelocytes/100 leukocytes in Blood,HEM/BC,378
19162-7,VZV IgG Ser Ql,Varicella zoster virus IgG Ab [Presence] in Serum,MICRO,379
18879-7,Cefepime Susc Islt,Cefepime [Susceptibility],ABXBACT,380
5783-6,Unident Crys UrnS Ql Micro,Unidentified crystals [Presence] in Urine sediment by Light microscopy,UA,381
39797-6,Vancomycin Trough SerPl-sCnc,Vancomycin [Moles/volume] in Serum or Plasma --trough,DRUG/TOX,382
4092-3,Vancomycin Trough SerPl-mCnc,Vancomycin [Mass/volume] in Serum or Plasma --trough,DRUG/TOX,382
8124-0,CD3 Cells NFr Bld,CD3 cells/100 cells in Blood,CELLMARK,383
31017-7,tTG IgA Ser-aCnc,Tissue transglutaminase IgA Ab [Units/volume] in Serum,SERO,384
3150-0,Inhaled O2 concentration,Inhaled oxygen concentration,CLIN,385
1834-1,AFP SerPl-mCnc,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,Chem,386
3167-4,Specimen vol 24H Ur,Volume of 24 hour Urine,SPEC,387
18895-3,Ceftriaxone Susc Islt,Ceftriaxone [Susceptibility],ABXBACT,388
1925-7,Base excess BldA-sCnc,Base excess in Arterial blood,Chem,389
1990-1,Vitamin D3 SerPl-mCnc,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,Chem,390
47094-8,Vitamin D2 SerPl-mCnc,Calciferol (Vit D2) [Moles/volume] in Serum or Plasma,Chem,391
14796-7,Insulin SerPl-aCnc,Insulin [Moles/volume] in Serum or Plasma,Chem,392
18993-6,Tetracycline Susc Islt,Tetracycline [Susceptibility],ABXBACT,393
17790-7,WBC Left Shift Bld Ql Auto,Leukocytes Left Shift [Presence] in Blood by Automated count,HEM/BC,394
13955-0,HCV Ab Ser Ql EIA,Hepatitis C virus Ab [Presence] in Serum by Immunoassay,MICRO,395
18996-9,Tobramycin Susc Islt,Tobramycin [Susceptibility],ABXBACT,396
8101-8,CD3+CD8+ Cells NFr Bld,CD3+CD8+ (T8 suppressor cells) cells/100 cells in Blood,CELLMARK,397
13451-0,Creat Cl Dial fld+SerPl-vRate,Creatinine dialysis fluid clearance,Chem,398
1305-2,D Ag Bld Ql,D Ag [Presence] in Blood,BLDBK,399
5130-0,dsDNA Ab Ser-aCnc,DNA double strand Ab [Units/volume] in Serum,SERO,400
14581-3,Acetamin SerPl-mCnc,Acetaminophen [Moles/volume] in Serum or Plasma,DRUG/TOX,402
14895-7,Prot Pattern SerPl IFE-Imp,Protein Fractions [interpretation] in Serum or Plasma by Immunofixation,Chem,403
18886-2,Cefotaxime Susc Islt,Cefotaxime [Susceptibility],ABXBACT,404
35492-8,MRSA DNA XXX Ql PCR,Methicillin resistant Staphylococcus aureus (MRSA) DNA [Presence] by Probe & target amplification method,ABXBACT,406
14946-8,Valproate SerPl-mCnc,Valproate [Moles/volume] in Serum or Plasma,DRUG/TOX,408
34148-7,B burgdor IgG+IgM Ser-aCnc,Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum,MICRO,410
18969-6,Piperacillin Susc Islt,Piperacillin [Susceptibility],ABXBACT,411
2955-3,Sodium Ur-sCnc,Sodium [Moles/volume] in Urine,Chem,412
10381-2,Targets Bld Ql Smear,Target cells [Presence] in Blood by Light microscopy,HEM/BC,413
18860-7,Amikacin Susc Islt,Amikacin [Susceptibility],ABXBACT,414
12238-2,Neutrophils NFr Fld Manual,Neutrophils/100 leukocytes in Body fluid by Manual count,HEM/BC,415
8098-6,Thyroglob Ab SerPl-aCnc,Thyroglobulin Ab [Units/volume] in Serum or Plasma,SERO,416
3773-9,Methadone Ur Ql,Methadone [Presence] in Urine,DRUG/TOX,417
26452-3,Eosinophil NFr Fld,Eosinophils/100 leukocytes in Body fluid,HEM/BC,418
18961-3,Oxacillin Susc Islt,Oxacillin [Susceptibility],ABXBACT,419
10352-3,Bacteria Genital Aerobe Cult,Bacteria identified in Genital specimen by Aerobe culture,MICRO,420
4073-3,Tricyclics SerPl Ql,Tricyclic antidepressants [Presence] in Serum or Plasma,DRUG/TOX,421
1006-6,DAT IgG-Sp Reag RBC-Imp,Direct antiglobulin test.IgG specific reagent [interpretation] on Red Blood Cells,BLDBK,422
31160-5,Polys NFr Bld Manual,Polymorphonuclear cells/100 leukocytes in Blood by Manual count,HEM/BC,423
7790-9,Burr Cells Bld Ql Smear,Burr cells [Presence] in Blood by Light microscopy,HEM/BC,424
543-9,Mycobacterium XXX Cult,Mycobacterium sp identified in Unspecified specimen by Organism specific culture,MICRO,425
20564-1,SaO2% Bld,Oxygen saturation in Blood,HEMODYN.MOLEC,426
8122-4,CD3 Cells # Bld,CD3 cells [#/volume] in Blood,CELLMARK,427
21667-1,F5 gene Mut Anal Bld/T,F5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,MOLPATH.MUT,428
584-3,Gp B Strep Vag Ql Cult,Streptococcus agalactiae [Presence] in Vaginal fluid by Organism specific culture,MICRO,429
10334-1,Cancer Ag125 SerPl-aCnc,Cancer Ag 125 [Units/volume] in Serum or Plasma,Chem,430
34713-8,C dif Tox A+B Stl Ql,Clostridium difficile toxin A+B [Presence] in Stool,MICRO,431
26510-8,Neuts Band NFr Fld,Neutrophils.band form/100 leukocytes in Body fluid,HEM/BC,432
8246-1,Amorph Sed UrnS Ql Micro,Amorphous sediment [Presence] in Urine sediment by Light microscopy,UA,433
18919-1,Erythromycin Susc Islt,Erythromycin [Susceptibility],ABXBACT,434
26455-6,RBC # Fld,Erythrocytes [#/volume] in Body fluid,HEM/BC,435
4485-9,C3 SerPl-mCnc,Complement C3 [Mass/volume] in Serum or Plasma,HEM/BC,436
4498-2,C4 SerPl-mCnc,Complement C4 [Mass/volume] in Serum or Plasma,HEM/BC,437
57845-0,WBC # Fld Auto,Leukocytes [#/volume] in Body fluid by Automated count,HEM/BC,438
5176-3,H pylori IgG Ser EIA-aCnc,Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,439
16128-1,HCV Ab Ser Ql,Hepatitis C virus Ab [Presence] in Serum,MICRO,440
14135-8,CD3+CD8+ Cells # Bld,CD3+CD8+ (T8 suppressor cells) cells [#/volume] in Blood,CELLMARK,441
7918-6,HIV1+2 Ab Ser Ql,HIV 1+2 Ab [Presence] in Serum,MICRO,442
19312-8,Tricyclics Ur Ql Scn,Tricyclic antidepressants [Presence] in Urine by Screen method,DRUG/TOX,443
18908-4,Clindamycin Susc Islt,Clindamycin [Susceptibility],ABXBACT,444
14684-5,Creat 24H Ur-mRate,Creatinine [Moles/time] in 24 hour Urine,Chem,445
13518-6,Variant Lymphs NFr Fld Manual,Lymphocytes Variant/100 leukocytes in Body fluid by Manual count,HEM/BC,446
12179-8,Basophils NFr Fld Manual,Basophils/100 leukocytes in Body fluid by Manual count,HEM/BC,447
6864-3,Hgb S Bld Ql Soly,Hemoglobin S [Presence] in Blood by Solubility test,HEM/BC,448
49563-0,Troponin I SerPl DL=0.01 ng/mL-mCnc,Troponin I.cardiac [Mass/volume] in Serum or Plasma by Detection limit = 0.01 ng/mL,Chem,449
33255-1,Cell Fract Bld-Imp,Cell Fractions/Differential [interpretation] in Blood,HEM/BC,450
2708-6,SaO2 % BldA,Oxygen saturation in Arterial blood,Chem,451
5209-2,HSV2 IgG Ser EIA-aCnc,Herpes simplex virus 2 IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,452
18964-7,Penicillin Susc Islt,Penicillin [Susceptibility],ABXBACT,453
18868-0,Aztreonam Susc Islt,Aztreonam [Susceptibility],ABXBACT,454
1863-0,Anion Gap4 SerPl-sCnc,Anion gap 4 in Serum or Plasma,Chem,455
19994-3,O2/Inspired gas setting VFr Vent,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,PULM,457
21654-9,CFTR Mut Anal Bld/T,CFTR gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,MOLPATH.MUT,460
14909-6,Salicylates SerPl-mCnc,Salicylates [Moles/volume] in Serum or Plasma,DRUG/TOX,464
70200-1,HDLc SerPl-mRto,Cholesterol in HDL/Cholesterol.total [Molar ratio] in Serum or Plasma,Chem,465
19113-0,IgE Ser-aCnc,IgE [Units/volume] in Serum,Chem,466
12232-5,MeV Ag XXX Ql IF,Measles virus Ag [Presence] in Unspecified specimen by Immunofluorescence,MICRO,467
14688-6,DHEA-S SerPl-mCnc,Dehydroepiandrosterone sulfate (DHEA-S) [Moles/volume] in Serum or Plasma,Chem,468
625-4,Bacteria Stl Cult,Bacteria identified in Stool by Culture,MICRO,469
24475-6,F2 p.G20210A Bld/T Ql,F2 gene p.G20210A [Presence] in Blood or Tissue by Molecular genetics method,MOLPATH.MUT,470
30318-0,Base deficit Bld-sCnc,Base deficit in Blood,Chem,471
743-5,Monocytes # Bld Manual,Monocytes [#/volume] in Blood by Manual count,HEM/BC,472
5569-9,Acetone Ur Ql,Acetone [Presence] in Urine,DRUG/TOX,473
3520-4,Cyclosporin Bld-mCnc,Cyclosporine [Mass/volume] in Blood,DRUG/TOX,474
32693-4,Lactate Bld-sCnc,Lactate [Moles/volume] in Blood,Chem,475
48065-7,D dimer FEU PPP-mCnc,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,COAG,476
2110-5,B-HCG Preg SerPl Ql,Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Serum or Plasma,Chem,477
13952-7,HBV core Ab Ser Ql EIA,Hepatitis B virus core Ab [Presence] in Serum by Immunoassay,MICRO,478
610-6,Bacteria Fld Aerobe Cult,Bacteria identified in Body fluid by Aerobe culture,MICRO,479
5403-1,VZV IgG Ser EIA-aCnc,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay,MICRO,480
803-7,Toxic Granules Bld Ql Smear,Toxic granules [Presence] in Blood by Light microscopy,HEM/BC,481
33358-3,M Protein SerPl Elph-mCnc,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,Chem,482
65633-0,HBV surface Ag SerPl Ql Cfm,Hepatitis B virus surface Ag [Presence] in Serum by Confirmatory method,MICRO,483
10524-7,Cyto Cervix,Microscopic observation [Identifier] in Cervix by Cyto stain,CYTO,484
29247-4,Sirolimus Bld-mCnc,Sirolimus [Mass/volume] in Blood,DRUG/TOX,485
739-3,Metamyelocytes # Bld Manual,Metamyelocytes [#/volume] in Blood by Manual count,HEM/BC,486
2889-4,Prot 24H Ur-mRate,Protein [Mass/time] in 24 hour Urine,Chem,487
18887-0,Cefotetan Susc Islt,Cefotetan [Susceptibility],ABXBACT,488
10335-8,Color CSF,Color of Cerebral spinal fluid,SPEC,489
39778-6,Iron/TIBC SerPl-mRto,Iron/Iron binding capacity.total [Molar ratio] in Serum or Plasma,Chem,490
30089-7,Trans Cells #/area UrnS HPF,Transitional cells [#/area] in Urine sediment by Microscopy high power field,UA,491
20761-3,C dif Stl Ql Aggl,Clostridium difficile [Presence] in Stool by Agglutination,MICRO,492
2828-2,Potassium Ur-sCnc,Potassium [Moles/volume] in Urine,Chem,493
29891-9,Urea Breath Test Ql,Helicobacter pylori [Presence] in Stomach by urea breath test,MICRO,494
19107-2,H capsul Ag Ser RIA-aCnc,Histoplasma capsulatum Ag [Units/volume] in Serum by Radioimmunoassay (RIA),MICRO,495
2639-3,Myoglobin SerPl-mCnc,Myoglobin [Mass/volume] in Serum or Plasma,Chem,496
5028-6,N gonorrhoea rRNA XXX Ql Prb,Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by DNA probe,MICRO,497
1922-4,Base deficit BldA-sCnc,Base deficit in Arterial blood,Chem,498
48058-2,D dimer DDU PPP EIA-mCnc,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,COAG,499
35365-6,Vit D+metab SerPl-mCnc,Vitamin D+Metabolites [Mass/volume] in Serum or Plasma,Chem,500
772-4,nRBC # Bld Manual,Nucleated erythrocytes [#/volume] in Blood by Manual count,HEM/BC,501
806-0,WBC # CSF Manual,Leukocytes [#/volume] in Cerebral spinal fluid by Manual count,HEM/BC,502
14566-4,"1,25(OH)2D3 SerPl-mCnc",Calcitriol [Moles/volume] in Serum or Plasma,Chem,503
3181-5,Cardiolipin IgG Ser IA-aCnc,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,COAG,504
3182-3,Cardiolipin IgM Ser IA-aCnc,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,COAG,505
4546-8,Hgb A MFr Bld,Hemoglobin A/Hemoglobin.total in Blood,HEM/BC,506
49541-6,Fasting status Patient Ql Reported,Fasting status [Presence] - Reported,MISC,507
4576-5,Hgb F MFr Bld,Hemoglobin F/Hemoglobin.total in Blood,HEM/BC,508
2890-2,Prot/Creat Ur-mRto,Protein/Creatinine [Mass ratio] in Urine,Chem,509
33935-8,cCP IgG Ser-aCnc,Cyclic citrullinated peptide IgG Ab [Units/volume] in Serum,SERO,510
16935-9,HBV surface Ab Ser-aCnc,Hepatitis B virus surface Ab [Units/volume] in Serum,MICRO,511
5193-8,HBV surface Ab Ser EIA-aCnc,Hepatitis B virus surface Ab [Units/volume] in Serum by Immunoassay,MICRO,512
20399-2,ANA nucleolar Titr Ser,Nuclear Ab pattern.nucleolar [Titer] in Serum,SERO,513
25145-4,Bacteria UrnS Ql Micro,Bacteria [Presence] in Urine sediment by Light microscopy,UA,514
24467-3,CD3+CD4+ Cells # Bld,CD3+CD4+ (T4 helper) cells [#/volume] in Blood,CELLMARK,515
33762-6,proBNP SerPl-mCnc,Natriuretic peptide.B prohormone [Mass/volume] in Serum or Plasma,Chem,516
48066-5,D dimer DDU PPP-mCnc,Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma,COAG,517
4625-0,Hgb S MFr Bld,Hemoglobin S/Hemoglobin.total in Blood,HEM/BC,518
